Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Rye","Rye","Beginning stocks","United States","Million bushels","1984/85","MY Jun-May",11.314
"Rye","Rye","Production","United States","Million bushels","1984/85","MY Jun-May",32.407
"Rye","Rye","Imports","United States","Million bushels","1984/85","MY Jun-May",0.6
"Rye","Rye","Total supply","United States","Million bushels","1984/85","MY Jun-May",44.321
"Rye","Rye","Food use","United States","Million bushels","1984/85","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1984/85","MY Jun-May",4.1
"Rye","Rye","Industrial use","United States","Million bushels","1984/85","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1984/85","MY Jun-May",14.521
"Rye","Rye","Total domestic use","United States","Million bushels","1984/85","MY Jun-May",24.121
"Rye","Rye","Exports","United States","Million bushels","1984/85","MY Jun-May",0.4
"Rye","Rye","Total disappearance","United States","Million bushels","1984/85","MY Jun-May",24.521
"Rye","Rye","Ending stocks","United States","Million bushels","1984/85","MY Jun-May",19.8
"Rye","Rye","Ending stocks","United States","Million bushels","1985/86","MY Jun-May",21.869
"Rye","Rye","Total disappearance","United States","Million bushels","1985/86","MY Jun-May",20.504
"Rye","Rye","Exports","United States","Million bushels","1985/86","MY Jun-May",0.2
"Rye","Rye","Total domestic use","United States","Million bushels","1985/86","MY Jun-May",20.304
"Rye","Rye","Feed and residual use","United States","Million bushels","1985/86","MY Jun-May",10.904
"Rye","Rye","Industrial use","United States","Million bushels","1985/86","MY Jun-May",2.1
"Rye","Rye","Seed use","United States","Million bushels","1985/86","MY Jun-May",3.8
"Rye","Rye","Food use","United States","Million bushels","1985/86","MY Jun-May",3.5
"Rye","Rye","Total supply","United States","Million bushels","1985/86","MY Jun-May",42.373
"Rye","Rye","Imports","United States","Million bushels","1985/86","MY Jun-May",2.2
"Rye","Rye","Production","United States","Million bushels","1985/86","MY Jun-May",20.373
"Rye","Rye","Beginning stocks","United States","Million bushels","1985/86","MY Jun-May",19.8
"Rye","Rye","Beginning stocks","United States","Million bushels","1986/87","MY Jun-May",21.869
"Rye","Rye","Production","United States","Million bushels","1986/87","MY Jun-May",19.067
"Rye","Rye","Imports","United States","Million bushels","1986/87","MY Jun-May",1
"Rye","Rye","Total supply","United States","Million bushels","1986/87","MY Jun-May",41.936
"Rye","Rye","Food use","United States","Million bushels","1986/87","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1986/87","MY Jun-May",3.7
"Rye","Rye","Industrial use","United States","Million bushels","1986/87","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1986/87","MY Jun-May",13.653
"Rye","Rye","Total domestic use","United States","Million bushels","1986/87","MY Jun-May",22.853
"Rye","Rye","Exports","United States","Million bushels","1986/87","MY Jun-May",0.5
"Rye","Rye","Total disappearance","United States","Million bushels","1986/87","MY Jun-May",23.353
"Rye","Rye","Ending stocks","United States","Million bushels","1986/87","MY Jun-May",18.583
"Rye","Rye","Ending stocks","United States","Million bushels","1987/88","MY Jun-May",18.912
"Rye","Rye","Total disappearance","United States","Million bushels","1987/88","MY Jun-May",20.401
"Rye","Rye","Exports","United States","Million bushels","1987/88","MY Jun-May",0.5
"Rye","Rye","Total domestic use","United States","Million bushels","1987/88","MY Jun-May",19.901
"Rye","Rye","Feed and residual use","United States","Million bushels","1987/88","MY Jun-May",10.601
"Rye","Rye","Industrial use","United States","Million bushels","1987/88","MY Jun-May",2
"Rye","Rye","Seed use","United States","Million bushels","1987/88","MY Jun-May",3.8
"Rye","Rye","Food use","United States","Million bushels","1987/88","MY Jun-May",3.5
"Rye","Rye","Total supply","United States","Million bushels","1987/88","MY Jun-May",39.313
"Rye","Rye","Imports","United States","Million bushels","1987/88","MY Jun-May",1.204
"Rye","Rye","Production","United States","Million bushels","1987/88","MY Jun-May",19.526
"Rye","Rye","Beginning stocks","United States","Million bushels","1987/88","MY Jun-May",18.583
"Rye","Rye","Beginning stocks","United States","Million bushels","1988/89","MY Jun-May",18.912
"Rye","Rye","Production","United States","Million bushels","1988/89","MY Jun-May",14.689
"Rye","Rye","Imports","United States","Million bushels","1988/89","MY Jun-May",0.2
"Rye","Rye","Total supply","United States","Million bushels","1988/89","MY Jun-May",33.801
"Rye","Rye","Food use","United States","Million bushels","1988/89","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1988/89","MY Jun-May",3.2
"Rye","Rye","Industrial use","United States","Million bushels","1988/89","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1988/89","MY Jun-May",11.379
"Rye","Rye","Total domestic use","United States","Million bushels","1988/89","MY Jun-May",20.079
"Rye","Rye","Exports","United States","Million bushels","1988/89","MY Jun-May",3.4
"Rye","Rye","Total disappearance","United States","Million bushels","1988/89","MY Jun-May",23.479
"Rye","Rye","Ending stocks","United States","Million bushels","1988/89","MY Jun-May",10.322
"Rye","Rye","Ending stocks","United States","Million bushels","1989/90","MY Jun-May",5.631
"Rye","Rye","Total disappearance","United States","Million bushels","1989/90","MY Jun-May",18.203
"Rye","Rye","Exports","United States","Million bushels","1989/90","MY Jun-May",0.63
"Rye","Rye","Total domestic use","United States","Million bushels","1989/90","MY Jun-May",17.573
"Rye","Rye","Feed and residual use","United States","Million bushels","1989/90","MY Jun-May",9.073
"Rye","Rye","Industrial use","United States","Million bushels","1989/90","MY Jun-May",2
"Rye","Rye","Seed use","United States","Million bushels","1989/90","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","1989/90","MY Jun-May",3.5
"Rye","Rye","Total supply","United States","Million bushels","1989/90","MY Jun-May",23.834
"Rye","Rye","Imports","United States","Million bushels","1989/90","MY Jun-May",0.03
"Rye","Rye","Production","United States","Million bushels","1989/90","MY Jun-May",13.482
"Rye","Rye","Beginning stocks","United States","Million bushels","1989/90","MY Jun-May",10.322
"Rye","Rye","Beginning stocks","United States","Million bushels","1990/91","MY Jun-May",5.631
"Rye","Rye","Production","United States","Million bushels","1990/91","MY Jun-May",10.176
"Rye","Rye","Imports","United States","Million bushels","1990/91","MY Jun-May",3.895
"Rye","Rye","Total supply","United States","Million bushels","1990/91","MY Jun-May",19.702
"Rye","Rye","Food use","United States","Million bushels","1990/91","MY Jun-May",3.5
"Rye","Rye","Seed use","United States","Million bushels","1990/91","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","1990/91","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1990/91","MY Jun-May",7.67
"Rye","Rye","Total domestic use","United States","Million bushels","1990/91","MY Jun-May",16.17
"Rye","Rye","Exports","United States","Million bushels","1990/91","MY Jun-May",0.213
"Rye","Rye","Total disappearance","United States","Million bushels","1990/91","MY Jun-May",16.383
"Rye","Rye","Ending stocks","United States","Million bushels","1990/91","MY Jun-May",3.319
"Rye","Rye","Ending stocks","United States","Million bushels","1991/92","MY Jun-May",1.514
"Rye","Rye","Total disappearance","United States","Million bushels","1991/92","MY Jun-May",16.081
"Rye","Rye","Exports","United States","Million bushels","1991/92","MY Jun-May",0.053
"Rye","Rye","Total domestic use","United States","Million bushels","1991/92","MY Jun-May",16.028
"Rye","Rye","Feed and residual use","United States","Million bushels","1991/92","MY Jun-May",7.528
"Rye","Rye","Industrial use","United States","Million bushels","1991/92","MY Jun-May",2
"Rye","Rye","Seed use","United States","Million bushels","1991/92","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","1991/92","MY Jun-May",3.5
"Rye","Rye","Total supply","United States","Million bushels","1991/92","MY Jun-May",17.595
"Rye","Rye","Imports","United States","Million bushels","1991/92","MY Jun-May",4.542
"Rye","Rye","Production","United States","Million bushels","1991/92","MY Jun-May",9.734
"Rye","Rye","Beginning stocks","United States","Million bushels","1991/92","MY Jun-May",3.319
"Rye","Rye","Beginning stocks","United States","Million bushels","1992/93","MY Jun-May",1.514
"Rye","Rye","Production","United States","Million bushels","1992/93","MY Jun-May",11.44
"Rye","Rye","Imports","United States","Million bushels","1992/93","MY Jun-May",3.099
"Rye","Rye","Total supply","United States","Million bushels","1992/93","MY Jun-May",16.053
"Rye","Rye","Food use","United States","Million bushels","1992/93","MY Jun-May",3.419
"Rye","Rye","Seed use","United States","Million bushels","1992/93","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","1992/93","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1992/93","MY Jun-May",6.065
"Rye","Rye","Total domestic use","United States","Million bushels","1992/93","MY Jun-May",14.484
"Rye","Rye","Exports","United States","Million bushels","1992/93","MY Jun-May",0.014
"Rye","Rye","Total disappearance","United States","Million bushels","1992/93","MY Jun-May",14.498
"Rye","Rye","Ending stocks","United States","Million bushels","1992/93","MY Jun-May",1.555
"Rye","Rye","Ending stocks","United States","Million bushels","1993/94","MY Jun-May",0.971
"Rye","Rye","Total disappearance","United States","Million bushels","1993/94","MY Jun-May",15.531
"Rye","Rye","Exports","United States","Million bushels","1993/94","MY Jun-May",0.016
"Rye","Rye","Total domestic use","United States","Million bushels","1993/94","MY Jun-May",15.515
"Rye","Rye","Feed and residual use","United States","Million bushels","1993/94","MY Jun-May",6.977
"Rye","Rye","Industrial use","United States","Million bushels","1993/94","MY Jun-May",2
"Rye","Rye","Seed use","United States","Million bushels","1993/94","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","1993/94","MY Jun-May",3.538
"Rye","Rye","Total supply","United States","Million bushels","1993/94","MY Jun-May",16.502
"Rye","Rye","Imports","United States","Million bushels","1993/94","MY Jun-May",4.607
"Rye","Rye","Production","United States","Million bushels","1993/94","MY Jun-May",10.34
"Rye","Rye","Beginning stocks","United States","Million bushels","1993/94","MY Jun-May",1.555
"Rye","Rye","Beginning stocks","United States","Million bushels","1994/95","MY Jun-May",0.971
"Rye","Rye","Production","United States","Million bushels","1994/95","MY Jun-May",11.341
"Rye","Rye","Imports","United States","Million bushels","1994/95","MY Jun-May",4.386
"Rye","Rye","Total supply","United States","Million bushels","1994/95","MY Jun-May",16.698
"Rye","Rye","Food use","United States","Million bushels","1994/95","MY Jun-May",3.312
"Rye","Rye","Seed use","United States","Million bushels","1994/95","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","1994/95","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1994/95","MY Jun-May",6.9
"Rye","Rye","Total domestic use","United States","Million bushels","1994/95","MY Jun-May",15.212
"Rye","Rye","Exports","United States","Million bushels","1994/95","MY Jun-May",0.035
"Rye","Rye","Total disappearance","United States","Million bushels","1994/95","MY Jun-May",15.247
"Rye","Rye","Ending stocks","United States","Million bushels","1994/95","MY Jun-May",1.451
"Rye","Rye","Ending stocks","United States","Million bushels","1995/96","MY Jun-May",0.898
"Rye","Rye","Total disappearance","United States","Million bushels","1995/96","MY Jun-May",14.377
"Rye","Rye","Exports","United States","Million bushels","1995/96","MY Jun-May",0.041
"Rye","Rye","Total domestic use","United States","Million bushels","1995/96","MY Jun-May",14.336
"Rye","Rye","Feed and residual use","United States","Million bushels","1995/96","MY Jun-May",6.018
"Rye","Rye","Industrial use","United States","Million bushels","1995/96","MY Jun-May",2
"Rye","Rye","Seed use","United States","Million bushels","1995/96","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","1995/96","MY Jun-May",3.318
"Rye","Rye","Total supply","United States","Million bushels","1995/96","MY Jun-May",15.275
"Rye","Rye","Imports","United States","Million bushels","1995/96","MY Jun-May",3.76
"Rye","Rye","Production","United States","Million bushels","1995/96","MY Jun-May",10.064
"Rye","Rye","Beginning stocks","United States","Million bushels","1995/96","MY Jun-May",1.451
"Rye","Rye","Beginning stocks","United States","Million bushels","1996/97","MY Jun-May",0.898
"Rye","Rye","Production","United States","Million bushels","1996/97","MY Jun-May",8.936
"Rye","Rye","Imports","United States","Million bushels","1996/97","MY Jun-May",4.327
"Rye","Rye","Total supply","United States","Million bushels","1996/97","MY Jun-May",14.161
"Rye","Rye","Food use","United States","Million bushels","1996/97","MY Jun-May",3.459
"Rye","Rye","Seed use","United States","Million bushels","1996/97","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","1996/97","MY Jun-May",2
"Rye","Rye","Feed and residual use","United States","Million bushels","1996/97","MY Jun-May",4.916
"Rye","Rye","Total domestic use","United States","Million bushels","1996/97","MY Jun-May",13.375
"Rye","Rye","Exports","United States","Million bushels","1996/97","MY Jun-May",0.032
"Rye","Rye","Total disappearance","United States","Million bushels","1996/97","MY Jun-May",13.407
"Rye","Rye","Ending stocks","United States","Million bushels","1996/97","MY Jun-May",0.754
"Rye","Rye","Ending stocks","United States","Million bushels","1997/98","MY Jun-May",0.764
"Rye","Rye","Total disappearance","United States","Million bushels","1997/98","MY Jun-May",13.684
"Rye","Rye","Exports","United States","Million bushels","1997/98","MY Jun-May",0.08
"Rye","Rye","Total domestic use","United States","Million bushels","1997/98","MY Jun-May",13.604
"Rye","Rye","Feed and residual use","United States","Million bushels","1997/98","MY Jun-May",5.306
"Rye","Rye","Industrial use","United States","Million bushels","1997/98","MY Jun-May",3
"Rye","Rye","Seed use","United States","Million bushels","1997/98","MY Jun-May",2
"Rye","Rye","Food use","United States","Million bushels","1997/98","MY Jun-May",3.298
"Rye","Rye","Total supply","United States","Million bushels","1997/98","MY Jun-May",14.448
"Rye","Rye","Imports","United States","Million bushels","1997/98","MY Jun-May",5.562
"Rye","Rye","Production","United States","Million bushels","1997/98","MY Jun-May",8.132
"Rye","Rye","Beginning stocks","United States","Million bushels","1997/98","MY Jun-May",0.754
"Rye","Rye","Beginning stocks","United States","Million bushels","1998/99","MY Jun-May",0.764
"Rye","Rye","Production","United States","Million bushels","1998/99","MY Jun-May",12.161
"Rye","Rye","Imports","United States","Million bushels","1998/99","MY Jun-May",3.322
"Rye","Rye","Total supply","United States","Million bushels","1998/99","MY Jun-May",16.247
"Rye","Rye","Food use","United States","Million bushels","1998/99","MY Jun-May",3.639
"Rye","Rye","Seed use","United States","Million bushels","1998/99","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","1998/99","MY Jun-May",3
"Rye","Rye","Feed and residual use","United States","Million bushels","1998/99","MY Jun-May",4.126
"Rye","Rye","Total domestic use","United States","Million bushels","1998/99","MY Jun-May",13.765
"Rye","Rye","Exports","United States","Million bushels","1998/99","MY Jun-May",0.033
"Rye","Rye","Total disappearance","United States","Million bushels","1998/99","MY Jun-May",13.798
"Rye","Rye","Ending stocks","United States","Million bushels","1998/99","MY Jun-May",2.449
"Rye","Rye","Ending stocks","United States","Million bushels","1999/00","MY Jun-May",1.589
"Rye","Rye","Total disappearance","United States","Million bushels","1999/00","MY Jun-May",15.322
"Rye","Rye","Exports","United States","Million bushels","1999/00","MY Jun-May",0.286
"Rye","Rye","Total domestic use","United States","Million bushels","1999/00","MY Jun-May",15.036
"Rye","Rye","Feed and residual use","United States","Million bushels","1999/00","MY Jun-May",5.736
"Rye","Rye","Industrial use","United States","Million bushels","1999/00","MY Jun-May",3
"Rye","Rye","Seed use","United States","Million bushels","1999/00","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","1999/00","MY Jun-May",3.3
"Rye","Rye","Total supply","United States","Million bushels","1999/00","MY Jun-May",16.911
"Rye","Rye","Imports","United States","Million bushels","1999/00","MY Jun-May",3.424
"Rye","Rye","Production","United States","Million bushels","1999/00","MY Jun-May",11.038
"Rye","Rye","Beginning stocks","United States","Million bushels","1999/00","MY Jun-May",2.449
"Rye","Rye","Beginning stocks","United States","Million bushels","2000/01","MY Jun-May",1.589
"Rye","Rye","Production","United States","Million bushels","2000/01","MY Jun-May",8.386
"Rye","Rye","Imports","United States","Million bushels","2000/01","MY Jun-May",3.23
"Rye","Rye","Total supply","United States","Million bushels","2000/01","MY Jun-May",13.205
"Rye","Rye","Food use","United States","Million bushels","2000/01","MY Jun-May",3.3
"Rye","Rye","Seed use","United States","Million bushels","2000/01","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","2000/01","MY Jun-May",3
"Rye","Rye","Feed and residual use","United States","Million bushels","2000/01","MY Jun-May",2.325
"Rye","Rye","Total domestic use","United States","Million bushels","2000/01","MY Jun-May",11.625
"Rye","Rye","Exports","United States","Million bushels","2000/01","MY Jun-May",0.39
"Rye","Rye","Total disappearance","United States","Million bushels","2000/01","MY Jun-May",12.015
"Rye","Rye","Ending stocks","United States","Million bushels","2000/01","MY Jun-May",1.19
"Rye","Rye","Ending stocks","United States","Million bushels","2001/02","MY Jun-May",0.568
"Rye","Rye","Total disappearance","United States","Million bushels","2001/02","MY Jun-May",12.463
"Rye","Rye","Exports","United States","Million bushels","2001/02","MY Jun-May",0.193
"Rye","Rye","Total domestic use","United States","Million bushels","2001/02","MY Jun-May",12.27
"Rye","Rye","Feed and residual use","United States","Million bushels","2001/02","MY Jun-May",2.97
"Rye","Rye","Industrial use","United States","Million bushels","2001/02","MY Jun-May",3
"Rye","Rye","Seed use","United States","Million bushels","2001/02","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","2001/02","MY Jun-May",3.3
"Rye","Rye","Total supply","United States","Million bushels","2001/02","MY Jun-May",13.031
"Rye","Rye","Imports","United States","Million bushels","2001/02","MY Jun-May",4.945
"Rye","Rye","Production","United States","Million bushels","2001/02","MY Jun-May",6.896
"Rye","Rye","Beginning stocks","United States","Million bushels","2001/02","MY Jun-May",1.19
"Rye","Rye","Beginning stocks","United States","Million bushels","2002/03","MY Jun-May",0.568
"Rye","Rye","Production","United States","Million bushels","2002/03","MY Jun-May",6.488
"Rye","Rye","Imports","United States","Million bushels","2002/03","MY Jun-May",6.14
"Rye","Rye","Total supply","United States","Million bushels","2002/03","MY Jun-May",13.196
"Rye","Rye","Food use","United States","Million bushels","2002/03","MY Jun-May",3.3
"Rye","Rye","Seed use","United States","Million bushels","2002/03","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","2002/03","MY Jun-May",3
"Rye","Rye","Feed and residual use","United States","Million bushels","2002/03","MY Jun-May",3.329
"Rye","Rye","Total domestic use","United States","Million bushels","2002/03","MY Jun-May",12.629
"Rye","Rye","Exports","United States","Million bushels","2002/03","MY Jun-May",0.122
"Rye","Rye","Total disappearance","United States","Million bushels","2002/03","MY Jun-May",12.751
"Rye","Rye","Ending stocks","United States","Million bushels","2002/03","MY Jun-May",0.445
"Rye","Rye","Ending stocks","United States","Million bushels","2003/04","MY Jun-May",0.594
"Rye","Rye","Total disappearance","United States","Million bushels","2003/04","MY Jun-May",11.771
"Rye","Rye","Exports","United States","Million bushels","2003/04","MY Jun-May",0.056
"Rye","Rye","Total domestic use","United States","Million bushels","2003/04","MY Jun-May",11.715
"Rye","Rye","Feed and residual use","United States","Million bushels","2003/04","MY Jun-May",3.854
"Rye","Rye","Industrial use","United States","Million bushels","2003/04","MY Jun-May",1.891
"Rye","Rye","Seed use","United States","Million bushels","2003/04","MY Jun-May",2.81
"Rye","Rye","Food use","United States","Million bushels","2003/04","MY Jun-May",3.16
"Rye","Rye","Total supply","United States","Million bushels","2003/04","MY Jun-May",12.365
"Rye","Rye","Imports","United States","Million bushels","2003/04","MY Jun-May",3.286
"Rye","Rye","Production","United States","Million bushels","2003/04","MY Jun-May",8.634
"Rye","Rye","Beginning stocks","United States","Million bushels","2003/04","MY Jun-May",0.445
"Rye","Rye","Beginning stocks","United States","Million bushels","2004/05","MY Jun-May",0.594
"Rye","Rye","Production","United States","Million bushels","2004/05","MY Jun-May",8.255
"Rye","Rye","Imports","United States","Million bushels","2004/05","MY Jun-May",5.626
"Rye","Rye","Total supply","United States","Million bushels","2004/05","MY Jun-May",14.475
"Rye","Rye","Food use","United States","Million bushels","2004/05","MY Jun-May",3.19
"Rye","Rye","Seed use","United States","Million bushels","2004/05","MY Jun-May",2.95
"Rye","Rye","Industrial use","United States","Million bushels","2004/05","MY Jun-May",2.097
"Rye","Rye","Feed and residual use","United States","Million bushels","2004/05","MY Jun-May",5.3
"Rye","Rye","Total domestic use","United States","Million bushels","2004/05","MY Jun-May",13.537
"Rye","Rye","Exports","United States","Million bushels","2004/05","MY Jun-May",0.145
"Rye","Rye","Total disappearance","United States","Million bushels","2004/05","MY Jun-May",13.682
"Rye","Rye","Ending stocks","United States","Million bushels","2004/05","MY Jun-May",0.793
